winner_agreement,tolerance_jaccard,worst_regret_gap,certificate_sup_norm_gap,probes_adaptive,probes_full,time_adaptive,time_full,m,geometry,replication,theta
1,1.0,0.0,0.0,4,4,0.000350083049852401,0.0003242500242777169,2,linear,16,0.7
1,1.0,0.0,0.0,4,4,0.00034954200964421034,0.0003217079793103039,2,linear,16,0.9
1,1.0,0.0,0.0,4,4,0.00036279199412092566,0.00032575003569945693,2,linear,17,0.3
1,1.0,0.0,0.0,4,4,0.0003643329837359488,0.00033175002317875624,2,linear,17,0.5
1,1.0,0.0,0.0,4,4,0.000344207976013422,0.0003274169866926968,2,linear,17,0.6
1,1.0,0.0,0.0,4,4,0.0003470410010777414,0.000321374973282218,2,linear,17,0.7
1,1.0,0.0,0.0,4,4,0.0003481660387478769,0.0003195000463165343,2,linear,17,0.9
1,1.0,0.0,0.0,4,4,0.00036100001307204366,0.00032608298351988196,2,linear,18,0.3
1,1.0,0.0,0.0,4,4,0.00035737501457333565,0.0003352499916218221,2,linear,18,0.5
1,1.0,0.0,0.0,4,4,0.0003545419895090163,0.0003244999679736793,2,linear,18,0.6
1,1.0,0.0,0.0,4,4,0.000347500026691705,0.0003209160058759153,2,linear,18,0.7
1,1.0,0.0,0.0,4,4,0.000342042010743171,0.00032166694290935993,2,linear,18,0.9
1,1.0,0.0,0.0,4,4,0.0003624169621616602,0.00033520901342853904,2,linear,19,0.3
1,1.0,0.0,0.0,4,4,0.000361915968824178,0.0003317079972475767,2,linear,19,0.5
1,1.0,0.0,0.0,4,4,0.00036758300848305225,0.0003362089628353715,2,linear,19,0.6
1,1.0,0.0,0.0,4,4,0.0003682919777929783,0.0003285839920863509,2,linear,19,0.7
1,1.0,0.0,0.0,4,4,0.00035445799585431814,0.0003216249751858413,2,linear,19,0.9
1,1.0,0.0,0.0,4,4,0.0003563750069588423,0.00032366602681577206,2,linear,20,0.3
1,1.0,0.0,0.0,4,4,0.00035320798633620143,0.00032249995274469256,2,linear,20,0.5
1,1.0,0.0,0.0,4,4,0.0003596249734982848,0.000321374973282218,2,linear,20,0.6
1,1.0,0.0,0.0,4,4,0.0003695000195875764,0.00033858296228572726,2,linear,20,0.7
1,1.0,0.0,0.0,4,4,0.000356165983248502,0.0003338749520480633,2,linear,20,0.9
1,1.0,0.0,0.0,4,4,0.0003646670375019312,0.00032458401983603835,2,linear,21,0.3
1,1.0,0.0,0.0,4,4,0.00035212497459724545,0.00032291701063513756,2,linear,21,0.5
1,1.0,0.0,0.0,4,4,0.0003446249756962061,0.0003209999995306134,2,linear,21,0.6
1,1.0,0.0,0.0,4,4,0.0003529579844325781,0.00033466698369011283,2,linear,21,0.7
1,1.0,0.0,0.0,4,4,0.0003506250213831663,0.0003223329549655318,2,linear,21,0.9
1,1.0,0.0,0.0,4,4,0.00035275000846013427,0.0003399580018594861,2,linear,22,0.3
1,1.0,0.0,0.0,4,4,0.0003595410380512476,0.00032824999652802944,2,linear,22,0.5
1,1.0,0.0,0.0,4,4,0.0003453749814070761,0.00032220897264778614,2,linear,22,0.6
1,1.0,0.0,0.0,4,4,0.00035375001607462764,0.0003216249751858413,2,linear,22,0.7
1,1.0,0.0,0.0,4,4,0.00034791702637448907,0.00032229197677224874,2,linear,22,0.9
1,1.0,0.0,0.0,4,4,0.0003514590207487345,0.0003220000071451068,2,linear,23,0.3
1,1.0,0.0,0.0,4,4,0.0003487919457256794,0.0003206670517101884,2,linear,23,0.5
1,1.0,0.0,0.0,4,4,0.00035550002939999104,0.00032454205211251974,2,linear,23,0.6
1,1.0,0.0,0.0,4,4,0.00034633296309038997,0.00032195798121392727,2,linear,23,0.7
1,1.0,0.0,0.0,4,4,0.0003422090085223317,0.00032220903085544705,2,linear,23,0.9
1,1.0,0.0,0.0,4,4,0.0003498750156722963,0.0003245830303058028,2,linear,24,0.3
1,1.0,0.0,0.0,4,4,0.0003485840279608965,0.0003220000071451068,2,linear,24,0.5
1,1.0,0.0,0.0,4,4,0.00034308398608118296,0.00034416699782013893,2,linear,24,0.6
1,1.0,0.0,0.0,4,4,0.000354000017978251,0.0003226249828003347,2,linear,24,0.7
1,1.0,0.0,0.0,4,4,0.0003469999646767974,0.0003185420064255595,2,linear,24,0.9
1,1.0,0.0,0.0,4,4,0.00035449996357783675,0.0003232500166632235,2,linear,25,0.3
1,1.0,0.0,0.0,4,4,0.00034445797791704535,0.0003217079793103039,2,linear,25,0.5
